#
# f1 and f2
#
#
# f1	f2
0.480057	0.951450
0.258556	0.283586
0.148373	0.319293
0.631881	0.911385
0.371511	0.619489
0.100855	0.028243
0.601398	0.915448
0.325201	0.729039
0.513064	0.675315
0.529995	0.894808
0.285267	0.377511
0.635662	0.920241
0.460872	0.633760
0.610904	0.814249
0.184252	0.037111
0.445765	0.653099
0.476430	0.324221
0.188345	0.024433
0.419561	0.700653
-0.02909	-0.26180
-0.44334	-0.88190
-0.00636	-0.68633
0.173627	0.132928
-0.11567	-0.78170
0.810874	0.949405
0.174838	0.560580
1.000000	1.000000
-0.37271	-0.86044
-0.37631	-0.86585
-0.06493	-0.43807
0.750853	0.783715
0.125155	0.074659
-0.41652	-0.88000
0.527753	0.601309
0.737929	0.936345
-0.34668	-0.89378
0.092487	0.272555
-0.21246	-0.66376
0.838397	0.986730
-0.22471	-0.83194
0.661045	0.950463
0.214243	0.564952
0.254093	0.637268
-0.24657	-0.83233
-0.22308	-0.58878
-0.09625	-0.37816
-0.00837	-0.36700
0.084754	0.532738
-0.37054	-0.87904
0.045479	-0.34863
-0.15630	-0.60239
0.387702	0.590272
-0.01346	0.022454
0.456546	0.897501
0.465254	0.684156
-0.07976	-0.42839
-0.04522	0.049623
0.163442	0.266438
-0.09156	-0.10586
0.237015	0.378395
0.013818	0.238704
0.600575	0.765328
-0.06238	-0.76928
0.780535	0.927860
-0.06710	-0.33170
0.722912	0.983171
0.666845	0.965685
0.803954	0.987817
0.437305	0.595222
0.027959	-0.27217
-0.05081	-0.40590
-0.08582	-0.23761
-0.11442	-0.61370
-0.09411	-0.52930
-0.13945	-0.12093
0.261342	0.203450
0.064304	-0.18768
0.345855	0.703151
0.149646	0.037659
0.587352	0.930920
-0.37071	-0.90235
0.005938	-0.00158
0.318758	0.758772
0.208731	0.420816
-0.33156	-0.92202
0.295164	0.383875
0.693793	0.906125
0.065584	-0.48484
0.688644	0.912077
0.408920	0.609939
0.866619	0.986086
0.510994	0.716394
0.418698	0.821314
-0.11598	-0.53174
0.296156	0.756732
-0.14986	-0.43902
0.624570	0.947314
0.467703	0.660617
0.013082	-0.35425
-0.33630	-0.89801
0.033408	-0.29760
0.235710	0.620750
