#
# Gaussian-cosines vs MI
#
#
# goe	mi
0.880552	5.257084
0.220316	-1.30905
0.395791	1.528718
0.679403	0.202353
0.452658	-1.04037
0.477431	-1.06552
-0.15390	-3.27218
-0.07880	-2.28281
0.624696	1.010245
0.686634	-0.06045
0.686024	1.985700
0.354770	-2.04636
0.688698	-0.37050
0.674979	1.648072
0.803876	0.657665
0.329875	-1.53569
0.703040	-0.58927
0.075220	-0.82906
-0.01930	-6.20804
0.421117	-6.24356
0.331635	-5.97301
0.463359	-7.87441
0.374788	-5.32187
0.401606	-4.24512
0.306003	-9.26631
0.403753	-4.04201
0.083686	-9.19096
-0.05056	-2.89999
0.387876	-5.13373
0.411233	-5.46177
0.207688	-2.50974
0.432476	-1.70400
0.121922	  -inf.0
0.091761	  -inf.0
0.269507	-5.75199
0.703448	-0.90385
0.341681	-1.61420
0.586898	-0.98200
0.196842	-3.11230
-0.25400	-13.1432
0.404033	-10.2801
0.422860	-0.90886
-0.17141	-5.22882
-0.06646	-5.45991
-0.34299	-6.32640
-0.31467	-5.59518
-0.06628	-2.73319
-0.01714	-1.88315
-0.33518	-5.49412
0.593160	0.221921
-0.02895	-2.07398
-0.12313	-3.35331
-0.24508	-3.54517
-0.07814	-3.84311
-0.21153	-3.82136
-0.15436	-7.01544
-0.31633	-5.00848
-0.16710	-4.76615
-0.35646	-6.42210
-0.26623	-4.79114
-0.13342	-6.80261
0.489305	-1.07298
-0.33266	-6.43991
0.726007	1.591760
0.625760	0.945069
0.800974	1.244031
0.612106	-1.58160
0.291977	-3.25124
0.099684	-1.69113
-0.08840	-2.18621
-0.27100	-5.23999
0.714956	0.572302
0.806240	1.384282
0.014652	-2.94722
0.691883	1.734625
0.593256	-1.29421
0.742554	0.807431
0.203229	-1.49627
0.519306	-0.70499
0.713404	0.227426
0.659124	0.528104
-0.40633	-5.77990
-0.27782	-15.3749
-0.13293	-2.64720
-0.31845	-4.48463
-0.08458	-6.09810
-0.32506	-6.74663
0.876905	1.593574
0.287774	-1.20404
0.329474	-1.18156
0.202122	-1.44944
-0.24564	-7.60393
-0.32826	-5.20045
-0.34474	-6.87383
0.600139	-0.46731
0.738663	1.366148
0.523197	-0.40988
0.043699	-1.85363
-0.35543	-5.72727
-0.35767	-6.05946
