#
# MI and Cosines
#
#
# mi	rmi	cos-mi	cos-rmi
-0.59706	-0.26796	0.249521	0.299531
-1.01447	0.129350	0.105348	0.255053
0.558478	0.367979	0.474838	0.448586
-3.07789	-2.05721	-0.22085	-0.02971
-1.14339	-0.20181	0.276029	0.373064
0.490004	2.206897	0.554134	0.539520
-1.62154	0.320424	-0.15835	0.085292
0.030566	1.165211	0.202570	0.302365
-0.50039	-0.28350	0.369915	0.378504
0.793804	1.667024	0.413303	0.449878
-0.57375	-0.57952	0.441153	0.488624
-0.96835	1.681109	0.430079	0.432717
0.714977	3.270909	0.548773	0.483382
-0.45662	-0.42792	0.507662	0.459643
-0.54145	-0.04185	0.414678	0.465763
-0.45581	-0.20100	0.360613	0.386354
-1.12480	-0.42476	0.395278	0.410566
-2.08237	-1.92680	-0.30947	-0.16341
0.133736	1.061607	0.451276	0.481652
-0.01758	-0.63970	0.437146	0.301336
-3.07553	-2.09788	-0.25527	-0.09634
-3.08604	-1.55418	-0.26853	-0.03852
-2.24959	-1.90108	-0.15039	-0.03259
-1.61075	0.496449	0.110122	0.219727
-0.98588	-1.30080	0.411300	0.302870
-0.24114	0.736313	0.355992	0.376505
0.367737	1.833654	0.523467	0.502687
-2.45487	-1.46592	-0.34050	-0.13847
0.568044	2.399982	0.458976	0.496214
-1.18009	0.183264	0.456470	0.464293
-1.96016	-0.58731	-0.26757	0.002224
-1.53963	-1.24997	-0.13740	0.063878
-1.04903	-0.54645	0.473062	0.428315
-0.45065	0.140077	0.277710	0.365686
-0.92994	-0.10513	0.042522	0.207336
-1.71126	-0.62098	-0.09876	0.089721
-1.33243	-0.92495	0.416024	0.366036
-1.04948	-0.38881	0.460420	0.403359
-1.88638	-1.13130	-0.12201	0.072425
-2.01476	-0.41098	-0.20303	0.035629
-2.28466	-2.27943	-0.30538	-0.14792
-0.20845	1.278997	0.370052	0.419939
0.163051	2.300547	0.506461	0.474940
-0.34313	-0.38945	0.353382	0.238916
0.100175	1.970759	0.465288	0.476935
-0.64740	-0.44857	0.298069	0.394128
-1.34181	-0.26967	0.125171	0.264610
-1.28079	1.053442	0.115592	0.243732
-1.73808	0.017828	0.198657	0.304341
-0.28890	1.002848	0.452867	0.448248
-1.08557	-0.13880	0.429612	0.387860
-3.08181	-2.11946	-0.36285	-0.16069
-0.78688	0.168327	0.246008	0.343960
1.081577	1.822116	0.516209	0.475289
-2.43013	-1.22035	-0.20023	0.029993
-0.39266	-0.44259	0.257754	0.310815
-2.34170	-0.88767	-0.17671	0.038322
-2.09689	-0.53306	-0.00225	0.113488
-0.69525	-0.74293	0.390306	0.433614
-0.16203	1.241457	0.153036	0.266581
-0.94040	-0.22698	0.292774	0.371542
0.036162	0.901206	0.399845	0.437558
0.637016	1.673086	0.564713	0.571448
2.131335	3.919846	0.574208	0.640574
-0.06999	0.292340	0.187520	0.291794
0.304949	1.028593	0.468460	0.513998
-1.24219	-0.60376	0.370183	0.376401
-0.91529	-0.98913	0.344239	0.362639
2.169520	4.731197	0.561539	0.558910
0.524450	1.427947	0.413280	0.417361
-0.50909	0.413364	0.559317	0.554216
2.791419	4.726713	0.259167	0.278785
-4.45310	-4.25165	-0.05105	-0.21791
8.054223	7.503779	0.323229	0.182433
-3.16903	-1.21259	0.070936	0.102210
-1.23350	-0.43099	0.164933	0.074176
-3.72487	-2.11432	0.096164	0.054211
-6.36288	-5.38313	0.025575	-0.15268
-1.30395	0.161072	0.044766	-0.01710
-4.74149	-2.49276	0.155157	0.060022
-1.40222	-0.33806	0.132047	0.148546
-2.91261	-1.49624	0.015536	0.057724
-2.80124	-0.55827	0.046094	-0.07047
-1.96547	-0.52835	0.128282	0.035057
-1.37380	1.717019	0.334608	0.377282
-6.80795	-6.59694	-0.04230	-0.20517
-3.46349	-1.59479	0.083050	0.004114
-1.36350	-3.41026	0.075382	-0.02799
-1.91772	-1.60524	-0.07805	-0.18925
-0.14940	0.613234	0.221895	0.225193
-1.25967	0.538288	0.191431	0.206209
2.143147	2.984140	0.280491	0.366189
-0.25702	0.883113	0.233299	0.265299
